radius,twist,chord,rel_thickness
2.8,0.2530727415391778,5.38,1000.0
11.0027383,0.2518860712367958,5.45248001,860.4914759999999
16.871021,0.21896855940559082,5.86600432,610.969583
22.9641225,0.15520257103700963,6.18451124,430.356446
32.3076383,0.11139036494900563,6.01996243,324.15052699999995
41.5730197,0.08156928607512677,5.42189119,278.103477
50.4110617,0.050379843062278516,4.69821952,253.17976
58.5344352,0.021069436881024767,3.99867965,242.644205
65.7500952,-0.002275553559232587,3.39809449,241.006815
71.9674921,-0.019441655030553482,2.91304006,241.0
77.1859743,-0.032497310898350895,2.53594729,241.000016
78.7133469,-0.03626142828767372,2.4307714,241.000006
80.1402166,-0.0397948927368968,2.33143176,241.0
82.7084849,-0.04614797307009808,2.12906893,241.0
84.9251565,-0.051401180069948316,1.9033225,241.0
86.8264859,-0.05545485177096721,1.62601186,241.0
88.4486629,-0.05859989179889555,1.18359898,241.0
