r_centre,inflow_velocity,inflow_angle,a,a_prime,f_n,f_t,bec,C_T,alpha,alpha_max,alpha_best,circulation,v0,tsr,pitch
6.672940546967896,9.374289120561016,129.38100661165285,0.11447361591322686,0.07612458844937042,182.6327126499737,84.44439892757426,0.8015937046267994,0.40547762869191145,117.38429230395907,10.0,10.0,-4.4067541289630165,8,10.58,0.0
10.00900612310667,11.314307836977576,50.79141734930022,0.16963817587710378,0.07031612409186853,426.97797698825184,185.69194473794946,0.9045536426676332,0.5634442606487704,38.76900478903227,11.2121212121212,10.6060606060606,29.855318401870644,8,10.58,0.0
13.34580407523511,13.56875283719151,33.47245920522708,0.20722366435397108,0.05129888435526001,696.3144322466144,243.06282856392286,0.9561256453753755,0.6571280691427352,21.903766883754972,11.2121212121212,9.39393939393939,43.00934122194541,8,10.58,0.0
16.68232154052844,16.022665553191256,18.085308189691997,0.41439374167187965,0.07431525714182365,1366.784373198227,422.2079085294638,0.993286180135763,1.0017954467712942,8.046475916633836,13.6363636363636,8.18181818181818,72.87258649965463,8,10.58,0.0
20.0184759168035,18.58218383939587,14.654881298788375,0.435780883766771,0.053220132159902525,1693.1941170707205,421.4074597296107,0.9978402117786977,1.0315313114868192,6.578272293401243,16.0606060606061,8.78787878787879,76.64679310955681,8,10.58,0.0
23.35448768472906,21.22133277031307,12.471110349168224,0.44410641991567973,0.039225957706600395,1999.1719277019756,417.09423959761733,0.9992470844430813,1.043106818654151,5.887520458278247,17.8787878787879,10.0,78.55291050447939,8,10.58,0.0
26.69106852484301,23.915398947136563,10.946202252573977,0.4454725213350721,0.029835445338915235,2289.5863015975724,413.5431177422582,0.9997187564723942,1.0450061938401627,5.284995329078711,17.8787878787879,10.0,79.41108108407447,8,10.58,0.0
30.02744069380972,26.645859750843073,9.832598362726795,0.4419256322038829,0.02326366866109989,2563.884366456056,410.78378875611617,0.99988698129688,1.0400747347935049,4.822340894214709,17.8787878787879,10.0,79.54286421481034,8,10.58,0.0
33.36423513674197,29.400499320383954,8.939943102443497,0.43785544112773156,0.01857267942859343,2833.4070075970394,407.8685973308942,0.999953627698588,1.0344156967289622,4.492886040632012,16.0606060606061,10.0,79.4757719936125,8,10.58,0.0
36.70036540293389,32.172222093105134,8.206101580804974,0.43361551153626043,0.01512546037065459,3099.0100701365336,404.9560098531005,0.9999806504107145,1.028520660722003,4.275574702811704,16.0606060606061,10.0,79.29468324534379,8,10.58,0.0
40.03665517241379,34.95768158766268,7.592892892931445,0.4292091724446599,0.012528541936853321,3360.6134759815104,402.2954048418268,0.9999917642749263,1.0223942553080763,4.152483844115683,16.0606060606061,10.0,79.02976070503749,8,10.58,0.0
43.37350887089437,37.75391682919949,7.061571566015246,0.42558603681481966,0.010545472045702536,3622.774960271996,399.93938141492305,0.9999964254061326,1.0173567860446786,4.12387166483907,15.4545454545455,10.0,78.80164605613558,8,10.58,0.0
46.70987073478967,40.55755420222051,6.582846589125496,0.4238311341350838,0.009019677113476942,3892.0915740634973,397.93578898433543,0.9999982829473395,1.0149168364505718,4.192162345428927,15.4545454545455,10.0,78.74022253991672,8,10.58,0.0
50.04619223459137,43.367879755505456,6.150440946500924,0.42358813730092143,0.00783082442395726,4168.704025091618,396.76860893018926,0.9999986742043318,1.0145789829423801,4.350425971996339,14.8484848484848,10.0,78.81726320162164,8,10.58,0.0
