rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,a,a_prime,C_t,C_n,f_n,f_t,C_T,alpha,end_correction,alpha_max,alpha_best,c_l,c_d,phi,inflow_speed
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,9.072940546967896,0.11985739812609505,0.01060168830399058,0.0673657015089758,0.807865069702262,258.9903464970695,21.596510395303884,0.4219664089621512,60.14711977332968,0.8023855578211763,10.0,10.0,0.3118351102202714,0.7482933733628465,1.259147439726357,10.527955168671026
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,12.40900612310667,0.1765586084819882,0.04121457831099762,0.32759895044248283,1.0813545610954747,547.4224506978926,165.84294064992397,0.5815426650115688,26.948118515245174,0.9056550689812609,11.2121212121212,10.6060606060606,1.0467539577840843,0.42538795351579783,0.6801640785184709,12.846618431358849
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,15.74580407523511,0.3745831342434514,0.07395635764980343,0.5081419170265405,1.5626309362773567,1208.8692590046103,393.10442948764586,0.946444300204713,9.12636652686659,0.978266666738714,11.2121212121212,9.39393939393939,1.6413758018665183,0.07687085206695725,0.36119691579749613,15.277384671444555
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,19.08232154052844,0.39188949857958927,0.05529549311970037,0.375344778946743,1.334840272666074,1513.6193769816189,425.6158149378797,0.9705064075369457,6.623877273230158,0.9919895893937227,13.6363636363636,8.18181818181818,1.3864146809637348,0.023164391251314222,0.29081914388622165,17.864775502878196
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,22.418475916803498,0.41918270723505036,0.041537323501416354,0.2745939432219864,1.2008873060844631,1853.3719602750464,423.79056906543155,1.0084538414030746,5.527780075544393,0.9974357253012024,16.0606060606061,8.78787878787879,1.2317830378651304,0.0155789343906945,0.23744138218462044,20.46603581330589
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,25.75448768472906,0.4319277824165612,0.031668757237457074,0.213089022443495,1.1061699114938814,2168.6783197976915,417.7672330067237,1.0261741066776544,5.053093732730423,0.99912099223068,17.8787878787879,10.0,1.1264151691560504,0.01441080412233318,0.20309844324508058,23.131408727144144
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,29.09106852484301,0.43632932921601403,0.024705631300482762,0.17319908356791253,1.0341745611067692,2465.0468818804034,412.8353925440911,1.032293849071793,4.599991735687699,0.9996774547571148,17.8787878787879,10.0,1.0484868394131335,0.013794671674298254,0.17909170180397022,25.842488540593475
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,32.42744069380972,0.4349511781222674,0.019649048545624482,0.14573241366831446,0.9772452838845199,2742.970637688719,409.0474911915047,1.0303777204792315,4.245456053603698,0.9998726062086051,17.8787878787879,10.0,0.9879616205418472,0.013346070749693083,0.16154267558228141,28.584079845079344
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,35.764235136741966,0.43269957939514336,0.01594378431643688,0.12600580903617137,0.9375395539499404,3016.1666524844672,405.37438408120636,1.0272471836900547,3.9971967814661413,0.999948687062211,16.0606060606061,10.0,0.9458794661056495,0.013035134491238167,0.1473800324393798,31.345848070909167
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,39.10036540293389,0.4300091194413829,0.013161782326468353,0.11152855200019975,0.9117701561446214,3285.56879328099,401.8937530935702,1.0235064710294943,3.8427370633989075,0.9999789865008073,16.0606060606061,10.0,0.9184765549086438,0.012816147252499244,0.13566904940384505,34.12193504017287
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,42.436655172413786,0.4269568540172091,0.011029130594032596,0.10071195694276566,0.896741614403394,3551.1540686292806,398.8257820452116,1.01926271787508,3.769182228019589,0.9999912009086669,16.0606060606061,10.0,0.9022909934184498,0.012624756235021795,0.12583110550383886,36.90980983055658
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,45.77350887089437,0.4246308546401666,0.009379474210317044,0.09252153661662149,0.8916173180369823,3818.2437492472436,396.2123342724397,1.0160287372666725,3.7797994323009276,0.9999961790045014,15.4545454545455,10.0,0.8963189583823785,0.012409730282733802,0.11724248086969999,39.70704259859102
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,49.109870734789666,0.42420561196446926,0.008098502058306464,0.08629896218078266,0.8965744937484702,4094.1698113939024,394.0805902675026,1.0154374961078632,3.879379714747172,0.9999979984737855,15.4545454545455,10.0,0.9006364617085664,0.012136620406023379,0.10943326038547219,42.51062546102891
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,52.44619223459137,0.42525733231858226,0.007092381023619283,0.08170454440748277,0.9105708500696453,4378.60835501655,392.88782499248913,1.016899767879833,4.063404776344272,0.9999980461015365,14.8484848484848,10.0,0.9141536916799166,0.01174451196818909,0.10233598007877814,45.32011494262025
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,55.782240745768846,0.42647735380421603,0.00628765246725363,0.07849279855487831,0.9312489374530867,4664.89031693537,393.1927127124979,1.018596039110738,4.321296252099214,0.9999963256094169,14.2424242424242,9.39393939393939,0.9344842332117009,0.011176797896484113,0.09604872880944447,48.135012602141586
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,59.11861940572266,0.42909127879783443,0.005628900468085957,0.07609697316205635,0.9593374406421431,4961.525909129297,393.56027186548397,1.0222303404887296,4.619730365024926,0.9999915613978472,14.2424242424242,9.39393939393939,0.9622916787822112,0.01066767494619786,0.09024192838809436,50.953591498535424
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,62.45534136056972,0.4315683451331511,0.005070509048040189,0.07434302056742997,0.9924808194252729,5259.18176792424,393.9456064924819,1.0256743588204709,4.9511410131526645,0.9999795677873959,14.2424242424242,8.78787878787879,0.9952084571903911,0.010256138204601147,0.08507177837705834,53.77563481844956
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,65.79116532297232,0.4327930085813658,0.004586732601054898,0.07316628385681796,1.028977602540252,5549.180134075836,394.5789372480779,1.0273770840586811,5.305220412757427,0.9999487607999823,14.8484848484848,8.18181818181818,1.0315278927873004,0.009920585904725887,0.08060340638868892,56.59997438301847
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,69.12788765294773,0.43246836023183916,0.00415530315768042,0.0723221759788164,1.067472209530485,5827.778627771861,394.83709994537816,1.026925705405151,5.661645338832772,0.999867768958375,15.4545454545455,8.18181818181818,1.0698747886479845,0.00976482839771082,0.07677431887241025,59.427355327073165
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,72.46452203065135,0.4293515846423913,0.003763692933228729,0.07180619760160672,1.1055755354985803,6082.5051512756345,395.05357416245926,1.022592259783232,6.0126936334593815,0.9996460877446564,14.8484848484848,7.57575757575757,1.107862053053529,0.009750185177392975,0.07365873376775885,62.25707335714016
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,75.80058382486388,0.4225678272166379,0.00340753786959872,0.07166945387508246,1.1411554810062874,6301.567681428528,395.7654515987589,1.0131603828087332,6.346027337020758,0.999021951201373,14.8484848484848,6.96969696969697,1.1433620553145392,0.009775117204239514,0.07127114722390496,65.08898028731012
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,79.13649718106727,0.4120065027459242,0.0030817897131997316,0.07167814271487016,1.170710551906339,6477.014902431657,396.5629230785131,0.9984763210353312,6.631751147114255,0.9972567216163026,14.8484848484848,6.96969696969697,1.1728615817751356,0.009831708082794842,0.06953232379009393,67.92320522156271
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,82.4734420062696,0.3978132240862864,0.002786876318121737,0.0717991879730074,1.1935788943441203,6598.417293237124,396.92474942916095,0.9787425290111246,6.858863687354234,0.9923275623186808,14.8484848484848,6.96969696969697,1.1956956400754353,0.009881129586813359,0.06834586714247493,70.76078333377127
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,85.80979293189225,0.38057043351635844,0.0025266800346747794,0.07177494571997986,1.2069808706365395,6647.938174684137,395.3297133749046,0.9547688122129375,7.001652615550309,0.9789658879717403,14.8484848484848,6.96969696969697,1.2090725581872357,0.009900199706011109,0.06758464298067476,73.60044403936895
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,89.1461529815203,0.3587259392143531,0.002308581167972592,0.07141473063355636,1.2041921419225583,6560.009076546349,389.04196834176844,0.9243970624737029,6.99538013143426,0.9436835970196383,14.8484848484848,6.36363636363637,1.2062680679540136,0.009804420125322916,0.06736343115363227,76.44433061760105
99.155,2.4,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,92.48278302387268,0.32532279530385566,0.002128926158853709,0.07110275879329264,1.1784927800634846,6094.275505297377,367.6898226306388,0.8779514966381652,6.778380757497187,0.8541363898820717,14.8484848484848,6.36363636363637,1.1805973317505125,0.009527603756885399,0.06833057145597285,79.29648004627116
