name,radius,chord,twist,l2d,load
NREL_5MW,16.204714010121155,12.54634176410401,16.672949190734116,71.62962962962963,898.6898137695243
NREL_5MW,21.859124856205977,7.695992147903204,9.938387863433652,105.0,808.0791755298364
NREL_5MW,27.51353570229081,6.346629617411881,6.708864245008021,105.0,666.3961098282475
NREL_5MW,33.16794654837564,5.393126506508019,4.915701901578636,112.14285714285714,604.800615372685
NREL_5MW,38.82235739446046,5.519741877955191,5.71932497603035,134.43037974683543,742.0209967580269
NREL_5MW,44.47676824054529,4.858728017164458,4.419827386924789,134.43037974683543,653.1606524340068
NREL_5MW,50.13117908663012,4.857185774547029,4.895278355220292,143.63636363636363,697.6685021622095
NREL_5MW,55.78558993271495,4.383086427562856,4.068115750433638,143.63636363636363,629.5705959590283
NREL_5MW,61.44000077879977,3.743257880336612,1.8870227446839127,174.3103448275862,652.4885719000542
NREL_5MW,67.0944116248846,3.4358679776105654,1.316847016601982,174.3103448275862,598.9073319593589
NREL_5MW,72.74882247096943,3.1746271832123267,0.8327706077534085,174.3103448275862,553.3703590047693
NREL_5MW,77.46087748019333,2.98519155993832,0.4820127578856361,174.3103448275862,520.3497701892485
NREL_5MW,81.23043874009667,2.849047976645252,0.2300587293848233,174.3103448275862,496.6185352393706
NREL_5MW,85.0,2.7246873515729537,0.0,174.3103448275862,474.9411918000441
DTU_10MW,16.213210443003767,14.33390420560726,17.978488166272392,9.314512202432478,133.51332563162703
DTU_10MW,22.068738503225013,9.840744863248684,12.900866089768073,34.65352677189369,341.01651557396355
DTU_10MW,31.04794538957355,5.062387393995,8.226118801040819,75.99000777439046,384.6908574266563
DTU_10MW,39.95206437993536,4.428098495491482,5.467621077203837,91.08815461809048,403.347320421462
DTU_10MW,48.44550617282423,3.6863806222849194,3.71208178851424,99.47065527568463,366.68669609426695
DTU_10MW,56.25214479076087,2.746596215792307,2.5069545562564883,103.5140750644616,284.3113668532911
DTU_10MW,63.18646216640546,2.4532096336989504,1.700395883278909,104.24692905738095,255.739570647098
DTU_10MW,69.16143927937209,2.246387842142398,1.1309736853814725,104.25,234.18593254334505
DTU_10MW,74.17644993590966,2.09767558833645,0.7219127690782177,104.2499927899542,218.68266495973785
DTU_10MW,75.64426942286767,2.0577673527117786,0.6121885967948026,104.24999729623272,214.52224095647887
DTU_10MW,77.01550467418089,2.02182017205242,0.5133727607659635,104.25,210.7747529364648
DTU_10MW,79.48363475486751,1.96015835888492,0.3439078313767671,104.25,204.34650891375296
DTU_10MW,81.61387708779033,1.909859417188576,0.2057063940991721,104.25,199.10284424190905
DTU_10MW,83.44107258969089,1.8687119534122048,0.0926723027731153,104.25,194.8132211432224
DTU_10MW,85.0,1.834971297921833,0.0,104.25,191.2957578083511
IEA_10MW,14.655545769675134,8.180746918158624,17.51404907034813,62.468489558300725,511.0389034360928
IEA_10MW,17.58638264615056,6.942975128206848,13.912420847399328,89.89865025940215,624.1640928103952
IEA_10MW,20.517094240111316,5.819006483415638,10.262577919960927,95.12323394733812,553.522715063023
IEA_10MW,23.448305768297825,5.293969397937331,8.271929426461218,97.2823632186215,515.0098538384063
IEA_10MW,26.3793339773017,4.8483847416613735,6.6308666266459255,98.60067180291676,478.0539926868225
IEA_10MW,29.310733157181204,4.462197900526914,5.262013182257043,99.40543675404129,443.566731184844
IEA_10MW,32.241548852766066,4.127465442199572,4.107272451603647,99.97769168325914,412.65446741353566
IEA_10MW,35.17250467319696,3.838731045831589,3.1221885642021956,100.57387805064124,386.0760680726767
IEA_10MW,38.10395590952428,3.591243728368941,2.2732624683257683,101.41438244637641,364.2037649269585
IEA_10MW,41.03497506544491,3.3795205232307284,1.5352047897786996,102.63097351895046,346.8434813264425
IEA_10MW,43.96595876120374,3.199295882980902,0.8881276917482861,104.48393863018264,334.27503469717254
IEA_10MW,46.89670263438946,3.1789319508447393,0.9226719546027056,107.22476510045838,340.8602316996691
IEA_10MW,49.827736545774655,3.034086664942997,0.4143908410578838,109.49709007628434,332.22366085051647
IEA_10MW,52.75907204432254,3.0333747150303267,0.5656456605162976,111.80420882420648,339.14406008131846
IEA_10MW,55.689618649709544,3.044949476597301,0.7626363785636272,114.58447634399036,348.90394126980925
IEA_10MW,58.62095447781052,2.9138201476558816,0.39264096863922227,115.9571726961302,337.8783460671967
IEA_10MW,61.55221303917487,2.935950627286512,0.6626036814271155,117.02207606907943,343.5710376413837
IEA_10MW,64.48296858160747,2.9724059670260528,0.9621058398346367,118.23633819478434,351.44639716948734
IEA_10MW,67.41359372012523,2.854565232340712,0.6813629839510726,119.75354429713278,341.84430400016856
IEA_10MW,70.3451250119675,2.745229253258202,0.42325024794788035,121.092679076827,332.4271649571129
IEA_10MW,73.2761345585328,2.6433976679708002,0.18527317187361625,122.2276323482367,323.09623831092125
IEA_10MW,76.20715212060591,2.700076533189282,0.5712053994331168,123.28062536379738,332.8671235416887
IEA_10MW,79.13840687333138,2.6049984632348226,0.36698999909364005,124.17504666861691,323.47580574385944
IEA_10MW,82.0690954421158,2.515673867039644,0.1770845758074726,124.7227662562444,313.76180369572796
IEA_10MW,85.0,2.4321593966884962,0.0,124.85302994530676,303.66246998650803
