rotor_radius,root_radius,n_blades,air_density,wind_speed,tip_speed_ratio,pitch,start_radius,tip_loss_correction,root_loss_correction,resolution,r_centre,a,a_prime,C_t,C_n,f_n,f_t,C_T,alpha,end_correction,alpha_max,alpha_best,c_l,c_d,phi,inflow_speed
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,8.235234221442294,0.11985739812609507,0.010601688303990574,0.0673657015089758,0.807865069702262,235.07771856927286,19.602500484870653,0.42196640896215126,60.14711977332968,0.8023855578211763,10.0,10.0,0.3118351102202714,0.7482933733628465,1.259147439726357,10.527955168671026
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,11.26328022872876,0.1765586084819882,0.04121457831099762,0.32759895044248283,1.0813545610954747,496.8788317564452,150.53063041191223,0.5815426650115688,26.948118515245174,0.9056550689812609,11.2121212121212,10.6060606060606,1.0467539577840843,0.42538795351579783,0.6801640785184709,12.846618431358849
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,14.291990991590538,0.37458313424345135,0.07395635764980345,0.5081419170265407,1.562630936277357,1097.2541305069324,356.8090227813839,0.946444300204713,9.126366526866594,0.978266666738714,11.2121212121212,9.39393939393939,1.6413758018665185,0.07687085206695726,0.3611969157974962,15.277384671444553
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,17.32044716502002,0.3918894985795893,0.05529549311970031,0.3753447789467423,1.3348402726660726,1373.8666121561757,386.31862583237466,0.9705064075369457,6.623877273230145,0.9919895893937227,13.6363636363636,8.18181818181818,1.3864146809637332,0.02316439125131421,0.29081914388622143,17.8647755028782
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,20.3485737735093,0.41918270723505047,0.04153732350141636,0.27459394322198627,1.2008873060844631,1682.2497748449816,384.661905258321,1.0084538414030746,5.52778007554439,0.9974357253012024,16.0606060606061,8.78787878787879,1.2317830378651302,0.015578934390694498,0.23744138218462038,20.46603581330589
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,23.376570940705115,0.43192778241656127,0.03166875723745707,0.213089022443495,1.1061699114938814,1968.4438382511444,379.19470496298857,1.0261741066776544,5.053093732730423,0.99912099223068,17.8787878787879,10.0,1.1264151691560504,0.01441080412233318,0.20309844324508058,23.131408727144144
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,26.405084637545976,0.43632932921601403,0.02470563130048276,0.17319908356791253,1.0341745611067692,2237.4486346552,374.7182222678453,1.032293849071793,4.599991735687699,0.9996774547571148,17.8787878787879,10.0,1.0484868394131335,0.013794671674298254,0.17909170180397022,25.842488540593475
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,29.433408929886284,0.43495117812226736,0.01964904854562448,0.14573241366831458,0.9772452838845203,2489.711637254648,371.2800585672475,1.0303777204792315,4.245456053603701,0.9998726062086051,17.8787878787879,10.0,0.9879616205418476,0.013346070749693083,0.16154267558228147,28.584079845079337
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,32.46211650755663,0.4326995793951433,0.015943784316436876,0.12600580903617137,0.9375395539499404,2737.6834120679955,367.9460901347242,1.0272471836900547,3.9971967814661413,0.999948687062211,16.0606060606061,10.0,0.9458794661056495,0.013035134491238167,0.1473800324393798,31.34584807090917
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,35.49022123205133,0.43000911944138287,0.013161782326468351,0.11152855200019975,0.9117701561446214,2982.2116019897044,364.78682646786666,1.0235064710294943,3.8427370633989075,0.9999789865008073,16.0606060606061,10.0,0.9184765549086438,0.012816147252499244,0.13566904940384505,34.12193504017287
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,38.51847073286512,0.4269568540172092,0.011029130594032597,0.10071195694276561,0.8967416144033937,3223.275338375626,362.0021217696438,1.0192627178750802,3.769182228019587,0.9999912009086669,16.0606060606061,10.0,0.9022909934184495,0.012624756235021795,0.12583110550383883,36.90980983055658
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,41.54723209500774,0.4246308546401665,0.009379474210317039,0.09252153661662156,0.8916173180369826,3465.7045780066755,359.6299741265653,1.0160287372666725,3.7797994323009303,0.9999961790045014,15.4545454545455,10.0,0.8963189583823788,0.012409730282733804,0.11724248086970003,39.707042598591016
90.0,2.178407543744642,3.0,1.225,8.0,10.58,0.0,4.0,1.0,1.0,28.0,44.57554703374585,0.42420561196446926,0.008098502058306463,0.08629896218078269,0.8965744937484703,3716.1543343800226,357.69505445086213,1.0154374961078632,3.8793797147471727,0.9999979984737855,15.4545454545455,10.0,0.9006364617085665,0.012136620406023379,0.1094332603854722,42.5106254610289
