M_range,n,n_cum
1.0,999.999999999998,999.999999999998
0.9,3460.987254853521,4460.987254853519
0.8,11978.432778258533,16439.420033112052
0.7000000000000001,41457.20317867252,57896.62321178457
0.6000000000000001,143482.85182325845,201379.47503504303
0.5000000000000001,496592.32145033474,697971.7964853777
0.40000000000000013,1718699.6953977346,2416671.491883112
0.30000000000000016,5948397.740692188,8365069.2325753
0.20000000000000018,20587328.767335184,28952397.999910485
0.1000000000000002,71252482.47522646,100204880.47513695
