r_centre,inflow_velocity,inflow_angle,a,a_prime,f_n,f_t,bec,C_T,alpha,alpha_max,alpha_best,circulation,v0,tsr,pitch
9.099096475551518,11.32181282142869,52.69299451562302,0.15554130295782484,0.06172568658760624,360.32114182181743,150.2318202716412,0.9017243511223428,0.5253928241280279,40.67058195535507,11.2121212121212,10.6060606060606,24.361842684215024,8,10.58,0.0
12.132549159304643,13.568752837191509,33.47245920522708,0.20722366435397113,0.05129888435526008,633.0131202241948,220.9662077853844,0.9561256453753755,0.6571280691427354,21.903766883754972,11.2121212121212,9.39393939393939,39.09940111085946,8,10.58,0.0
15.165746855025857,16.049463622498337,18.747676111173327,0.39511220140464864,0.07291957595507252,1208.6537334663851,388.603751666787,0.9922302512187282,0.9749871303375482,7.708843838115167,13.6363636363636,8.18181818181818,64.56692603861238,8,10.58,0.0
18.19861446982136,18.64103392895877,16.191737513053376,0.38127973658851866,0.050078397915799384,1425.1778594932628,394.74530096037256,0.9964315432427234,0.9557550000870575,5.815647459182056,16.0606060606061,8.78787878787879,64.75608164187939,8,10.58,0.0
21.231352440662786,21.295251831294475,14.38254832366559,0.3642721971738384,0.03566499357554945,1623.2086068837616,393.8708593155497,0.9982449947584983,0.9321083675012247,4.898958432775609,17.8787878787879,10.0,64.02388795755277,8,10.58,0.0
24.264607749857284,23.99204547451898,12.884765838874117,0.35227222988164564,0.026567614935136468,1822.8121517309098,390.81295856621637,0.99914680383988,0.9154240717496851,4.223558915378852,17.8787878787879,10.0,63.42450546389168,8,10.58,0.0
27.29767335800884,26.718718533930197,11.626453385613187,0.3443688268181118,0.02052426439368276,2026.534551661583,386.9455520757213,0.9995926270916335,0.904435482285661,3.7761959171011004,17.8787878787879,10.0,63.02807292295924,8,10.58,0.0
30.331122851583608,29.46707734050269,10.541955404665062,0.34060991742917235,0.01634817170176313,2238.982128685323,382.78513712293216,0.9998116581303149,0.8992092383783874,3.494898342853579,16.0606060606061,10.0,62.91970950264874,8,10.58,0.0
33.36396854812172,32.22937620469104,9.55989561549452,0.3428654214047685,0.013410296504234205,2471.5890973296887,378.6701665765299,0.9999188579758993,0.902345204875738,3.369368737501249,16.0606060606061,10.0,63.32552006431233,8,10.58,0.0
36.396959247648894,35.00752590663982,8.754406650867944,0.3440146521469578,0.011178278604916754,2701.1112504598295,375.00064668640334,0.9999644389835103,0.9039430513633632,3.313997602052183,16.0606060606061,10.0,63.58324127849127,8,10.58,0.0
