name,radius,chord,twist,l2d,airfoil
NREL_5MW,16.785714285714285,7.478740151041077,11.724434517711618,71.62962962962963,../data/NREL_5MW/DU40_A17.txt
NREL_5MW,22.642857142857142,4.449012413614654,5.649550393188354,105.0,../data/NREL_5MW/DU35_A17.txt
NREL_5MW,28.5,3.6105762683629634,3.0409557562821803,105.0,../data/NREL_5MW/DU35_A17.txt
NREL_5MW,34.35714285714286,3.0398586070189726,1.7490962478115772,112.14285714285714,../data/NREL_5MW/DU30_A17.txt
NREL_5MW,40.21428571428571,3.0933193029463166,2.948987190472427,134.43037974683543,../data/NREL_5MW/DU25_A17.txt
NREL_5MW,46.07142857142857,2.7124942197878803,1.9651741695672529,134.43037974683543,../data/NREL_5MW/DU25_A17.txt
NREL_5MW,51.92857142857143,2.70444811351522,2.69586852871566,143.63636363636363,../data/NREL_5MW/DU21_A17.txt
NREL_5MW,57.78571428571429,2.435807236687502,2.0783534835662536,143.63636363636363,../data/NREL_5MW/DU21_A17.txt
NREL_5MW,63.64285714285714,2.077276404118236,0.0720234243350983,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
NREL_5MW,69.5,1.9046223340960664,-0.3505110289612476,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
NREL_5MW,75.35714285714286,1.7583150236334453,-0.7083681609544135,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
NREL_5MW,80.23814285714285,1.6524476311468574,-0.9672068071980258,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
NREL_5MW,84.14285714285714,1.576472398118543,-1.1529100312287213,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
NREL_5MW,88.04757142857143,1.507148520557047,-1.3223202559619147,174.3103448275862,../data/NREL_5MW/NACA64_A17.txt
DTU_10MW,17.031877621985416,8.446956013347062,17.649075226532364,9.314512202432478,interpolated
DTU_10MW,23.183073752103198,5.613846238637597,13.291221877938982,34.65352677189369,interpolated
DTU_10MW,32.61567523275379,2.824261775302039,9.580049337345528,75.99000777439046,interpolated
DTU_10MW,41.96939734155917,2.4460287684395112,7.487010119029615,91.08815461809048,interpolated
DTU_10MW,50.89170558609085,2.026061828799015,6.179935288920021,99.47065527568463,interpolated
DTU_10MW,59.09253132922041,1.505278043783615,5.28234632645268,103.5140750644616,interpolated
DTU_10MW,66.37698898485698,1.3421904612764557,4.691137724315234,104.24692905738095,interpolated
DTU_10MW,72.65366560852495,1.2276982164867518,4.2752137107512125,104.25,interpolated
DTU_10MW,77.92190338754907,1.1455970770164372,3.977100455215005,104.2499927899542,interpolated
DTU_10MW,79.46383871003927,1.1235942781586736,3.8972266896976064,104.24999729623272,interpolated
DTU_10MW,80.90431288839035,1.1037857256173391,3.8253251792784657,104.25,interpolated
DTU_10MW,83.49706832305102,1.0698295952539247,3.702085091276798,104.25,interpolated
DTU_10MW,85.73487476163768,1.042151197508131,3.601642665000932,104.25,interpolated
DTU_10MW,87.65433237240605,1.0195219067586028,3.5195316439393847,104.25,interpolated
DTU_10MW,89.29197600673022,1.0009747281153478,3.4522383544197166,104.25,interpolated
IEA_10MW,15.165746855025855,4.944609503206543,11.0829127099081,62.468489558300725,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_5.dat
IEA_10MW,18.198614469821365,4.10253371872506,7.763626391085298,89.89865025940215,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_6.dat
IEA_10MW,21.231352440662786,3.3854355831742486,4.461893688919011,95.12323394733812,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_7.dat
IEA_10MW,24.264607749857284,3.046345724866891,2.8168906643291063,97.2823632186215,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_8.dat
IEA_10MW,27.297673358008836,2.7677358466356106,1.4949750009635636,98.60067180291676,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_9.dat
IEA_10MW,30.331122851583608,2.532119869160083,0.4125196415483625,99.40543675404129,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_10.dat
IEA_10MW,33.36396854812172,2.3315177854234674,-0.4881288350453943,99.97769168325914,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_11.dat
IEA_10MW,36.396959247648894,2.160724577716361,-1.248406955369994,100.57387805064124,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_12.dat
IEA_10MW,39.43046260990397,2.0157282230307003,-1.8982377040911107,101.41438244637641,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_13.dat
IEA_10MW,42.463518849808786,1.8925866766343558,-2.4595231019663917,102.63097351895046,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_14.dat
IEA_10MW,45.49653839508307,1.7883376610687454,-2.9490300128782296,104.48393863018264,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_15.dat
IEA_10MW,48.52930976888077,1.7742321986969787,-2.7734525370212344,107.22476510045838,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_16.dat
IEA_10MW,51.56238127792969,1.6912222345089303,-3.1549374001787953,109.49709007628434,../data/IEA_10MW/airfoils/pandas/IEA-10.0-198-RWT_AeroDyn15_Polar_17.dat
