mu_r,t
0.024204528263829357,1.0210111780761724
0.057850460626909045,1.0210111780761724
0.09150260246046993,1.0210337565477257
0.12514755809698622,1.021231733327824
0.15879989990656154,1.0218450077641315
0.1924494129446669,1.0225841700595197
0.22609526415010334,1.0228288633291682
0.25973967711894574,1.0225227855214956
0.2933898293060664,1.0219586917376464
0.3270378769987365,1.0213742870716578
0.36069018341729586,1.0208781375041962
0.394335791467237,1.0204826943284209
0.42798300814294576,1.0201893617868525
0.4616359121667527,1.0199852971520156
0.49528385593050944,1.0198245555054
0.5289313926134978,1.019640861712474
0.5625761761461232,1.0193779975191433
0.5962242893018271,1.0189688924326639
0.6298758646620919,1.0183084767610469
0.6635183835708973,1.017348301604653
0.697169962714414,1.0161063169377647
0.7308206548399107,1.0145891100670648
0.7644655723348683,1.0129214830257716
0.7981089927998312,1.0113617398731676
0.8317628158566848,1.0103819977980872
0.8654106493055542,1.0107613345701036
0.8990585747720264,1.0140898688210254
0.9327092231745516,1.0236351558040475
0.9663533718155963,1.0362493242157171
1.0,1.0
