alpha,c_l,c_d,c_m
-180.0,0.0,0.403110300992414,0.0
-177.0,0.0443009830063473,0.403520722697466,0.0464657601065134
-174.0,0.088601965348342,0.404615196803241,0.0929315195162106
-171.0,0.132903191788148,0.406382403819663,0.139397534951612
-168.0,0.177206181797098,0.407329574516687,0.15676793288789
-165.0,0.221504914119379,0.409792165209622,0.159590673893663
-162.0,0.265808315885008,0.423901163638468,0.162413712439084
-159.0,0.310104438385977,0.440326924453811,0.16758216957082
-156.0,0.354409019584529,0.458804103985873,0.177444666139063
-153.0,0.398709319639913,0.47899050427755,0.187306209696158
-150.0,0.443009828737775,0.500792402001606,0.19563381311211
-147.0,0.460778864195508,0.524099236167946,0.188621655277947
-144.0,0.425484004942039,0.548169120742241,0.179465978613174
-141.0,0.395075269480237,0.573187168482194,0.169962304547127
-138.0,0.366694733403768,0.59800313095368,0.162632848945161
-135.0,0.340002899866901,0.62159756801431,0.156913586912845
-132.0,0.314801892815249,0.648662704686569,0.151222863395246
-129.0,0.290430761174863,0.674397229606517,0.147894282133357
-126.0,0.266478885603108,0.699601239221558,0.145775395925039
-123.0,0.242837291508104,0.724147605380158,0.144546280348342
-120.0,0.219428226304357,0.747227716174321,0.143696596406838
-117.0,0.196107447707166,0.768958117881975,0.143675364379218
-114.0,0.172873356417545,0.789308687483702,0.144067704987951
-111.0,0.149745625142753,0.807896813112438,0.144460049981887
-108.0,0.126858594922344,0.823898331522624,0.144802365202034
-105.0,0.104239423683335,0.837956229335357,0.145134201816225
-102.0,0.081944038029798,0.850000994759672,0.145397111886765
-99.0,0.0602685183961167,0.859083399812361,0.145273991642594
-96.0,0.039379868220676,0.865385364163034,0.144664862017722
-93.0,0.019262808162123,0.869383612968285,0.143905212785932
-90.0,-7.545610251768789e-11,0.87105026646595,0.143147481654582
-87.0,-0.0192628080466301,0.869383612978277,0.140902817400484
-84.0,-0.0393798681648832,0.865385364177718,0.138661959783939
-81.0,-0.0602685185659309,0.859083399741205,0.136287850533153
-78.0,-0.0819440381996122,0.850000994688517,0.133478595528593
-75.0,-0.104239423593294,0.837956229385761,0.130325305546225
-72.0,-0.126858594815386,0.823898331596214,0.127094659556628
-69.0,-0.149745625293482,0.807896812991295,0.123819386909464
-66.0,-0.172873356248417,0.789308687619633,0.120325179936896
-63.0,-0.196107447674913,0.76895811791115,0.116841858241739
-60.0,-0.219428226379837,0.747227716099902,0.113450754708739
-57.0,-0.242837291259836,0.724147605624937,0.109722406935523
-54.0,-0.26647888564822,0.699601239174603,0.106012707450002
-51.0,-0.290430761364266,0.674397229405626,0.102368963398174
-48.0,-0.314801892946297,0.648662704550708,0.0988124392408443
-45.0,-0.340002899649418,0.621597568325592,0.0954256260417713
-42.0,-0.366694733401916,0.598003130955325,0.0920388128047802
-39.0,-0.395075269537768,0.573187168434628,0.0766476464743375
-36.0,-0.425484004567715,0.54816912099711,0.0428037483513488
-33.0,-0.460778864309311,0.524099236090242,0.00768986942369332
-30.0,-0.372427009155467,0.478666823659284,0.00232871972778909
-29.3939393939394,-0.334226106554865,0.467228903774073,0.00207469740542201
-28.7878787878788,-0.298038977959236,0.456597655707397,0.00182750677283979
-28.1818181818182,-0.263291665698053,0.44598404770961,0.00158800105371378
-27.5757575757576,-0.235316875031313,0.44242669668337,0.00138723879356667
-26.969696969697,-0.210221747088518,0.441893455186615,0.00120522246553526
-26.3636363636364,-0.185437357942354,0.442406246675271,0.0010291881572126
-25.7575757575758,-0.160930852706681,0.442909392025188,0.000860061723375053
-25.1515151515151,-0.136673850542279,0.443369336404611,0.000698970475150365
-24.5454545454545,-0.112641708157963,0.443790901544918,0.000547301125610352
-23.9393939393939,-0.089997817124786,0.443842266215986,0.000408455636421676
-23.3333333333333,-0.0781269323076332,0.440855020000148,0.000298677604251324
-22.7272727272727,-0.0696715224472385,0.437866546798414,0.00020412895243415
-22.1212121212121,-0.0679225772377649,0.434876887059874,0.000124792228855276
-21.5151515151515,-0.0662125902464464,0.431886079475005,6.06500080553142e-05
-20.9090909090909,-0.0645405603731898,0.428894161070219,1.16848911795103e-05
-20.3030303030303,-0.0629055205266391,0.425901167296372,-0.000868530718130281
-19.6969696969697,-0.0613957845584263,0.424254844833488,-0.00185463886095577
-19.0909090909091,-0.0599971429583922,0.423950386878901,-0.00258838772776599
-18.4848484848485,-0.0586157183850461,0.423638818901652,-0.00332213659457622
-17.8787878787879,-0.0570956204302623,0.423065014869971,-0.00402600113825682
-17.2727272727273,-0.0550019379352528,0.421466515814973,-0.00461032836406415
-16.6666666666667,-0.0529776905653981,0.419867959840704,-0.00519465558987149
-16.0606060606061,-0.0510201585639424,0.418269348702906,-0.00577898281567883
-15.4545454545455,-0.0493104975372771,0.416826288769085,-0.00604324443874659
-14.8484848484848,-0.0476786151903746,0.415400415206071,-0.00627194320514548
-14.2424242424242,-0.0461013588545296,0.413974438923709,-0.00650064197154437
-13.6363636363636,-0.0445668642841445,0.412476949016538,-0.00652233013114264
-13.030303030303,-0.0430884781859475,0.410931821498006,-0.00640601120436225
-12.4242424242424,-0.0416718758566937,0.409386683336235,-0.00628969227758187
-11.8181818181818,-0.0412042656113261,0.407621294389226,-0.00616262515678414
-11.2121212121212,-0.0430514801126958,0.405340239234833,-0.00601047891391066
-10.6060606060606,-0.045309597523767,0.40305647317294,-0.00585833267103718
-10.0,-0.0481184501868868,0.400770008680092,-0.000702319054148656
-9.39393939393939,-0.0480610985424036,0.397778614281844,-0.000817188760309124
-8.78787878787879,-0.0594070750870654,0.394776098061894,-0.000986113270587313
-8.18181818181818,-0.0993291930553596,0.391762287127792,-0.00116819687083911
-7.57575757575758,-0.0907064803907494,0.389729671976675,-0.00164183282219216
-6.96969696969697,-0.0610914351835316,0.388118400087653,-0.00236897207548407
-6.36363636363636,-0.0318395037066753,0.386504345328655,-0.00410123538124556
-5.75757575757576,-0.0229778752842728,0.385008636627201,-0.00870181810299423
-5.15151515151515,-0.0168865048749284,0.383692071490536,-0.0117703128728839
-4.54545454545454,-0.0110500049983263,0.382373016091759,-0.0148768953493287
-3.93939393939394,-0.00558395965865048,0.381124013545877,-0.0181229847263428
-3.33333333333333,-0.000866226513212269,0.380526653674971,-0.0223771140137094
-2.72727272727273,0.0292074665099492,0.379928755271739,-0.0267176265099586
-2.12121212121212,0.0759386233090915,0.379330316185054,-0.0311452545106209
-1.51515151515152,0.123506165259224,0.379027274750828,-0.0363256325747445
-0.909090909090912,0.1712281416503,0.378817802989547,-0.0410757645905939
-0.303030303030302,0.218640367658483,0.378719962564425,-0.0454596405251987
0.303030303030302,0.265692882309773,0.378658758839067,-0.0497360521720127
0.909090909090912,0.312385685604172,0.378634200843688,-0.0539049995310361
1.51515151515152,0.358242046409036,0.378711433281354,-0.0576476175760766
2.12121212121212,0.403754052524159,0.378820309341617,-0.0612141278672913
2.72727272727273,0.448479070101646,0.378983923518619,-0.0643771455991135
3.33333333333333,0.492656532028674,0.379187106378238,-0.0672920722815736
3.93939393939394,0.531296707696992,0.379422630715958,-0.0700040153440638
4.54545454545455,0.565384476902984,0.379736346580404,-0.0722925112321735
5.15151515151515,0.598447127732971,0.380085916078066,-0.0743910239493517
5.75757575757576,0.629171388764705,0.380517138253137,-0.0760607361134915
6.36363636363637,0.657415237317296,0.381025082388641,-0.0773179687664074
6.96969696969697,0.684005477628399,0.381583947666362,-0.0783886334004262
7.57575757575757,0.705475568748492,0.382380174010448,-0.0789117126181043
8.18181818181818,0.724574064238536,0.383301738583073,-0.0790836618525775
8.78787878787879,0.738767627646651,0.384486994513703,-0.0787966268292411
9.39393939393939,0.747450395605531,0.386152630202298,-0.0783143977706561
10.0,0.753165811427638,0.388072484326874,-0.0777270642089503
10.6060606060606,0.740539624780627,0.391702968405631,-0.0766834067961889
11.2121212121212,0.71667723417055,0.396659105837884,-0.0756428530031952
11.8181818181818,0.651893657365584,0.404044295300146,-0.0746080630761562
12.4242424242424,0.573710392193788,0.413625122809556,-0.0742253283954575
13.030303030303,0.493190588031202,0.423999344523687,-0.0739022719993763
13.6363636363636,0.406246997323524,0.433838134413941,-0.0694035088621493
14.2424242424242,0.351867457653242,0.441124535967461,-0.0663567671482462
14.8484848484848,0.342998105477294,0.444729878629046,-0.0654880573297853
15.4545454545455,0.307545627301547,0.449717173836821,-0.06379174519848
16.0606060606061,0.257357060517234,0.455819412767119,-0.062044503793962
16.6666666666667,0.151815593365941,0.467878590264555,-0.0623217054419369
17.2727272727273,0.114480826446085,0.479782989294213,-0.0625989070899118
17.8787878787879,0.104304507796894,0.491543860427868,-0.0628761087378868
18.4848484848485,0.100146690938106,0.499514022628805,-0.0671709661951828
19.0909090909091,0.0972882424927726,0.506529305828771,-0.0724702373917654
19.6969696969697,0.0944336705345034,0.513513772057108,-0.073964039825386
20.3030303030303,0.0940279165689569,0.51693982542868,-0.0749043071480992
20.9090909090909,0.0963046555451581,0.516826373228007,-0.0761911821547793
21.5151515151515,0.0989499420762728,0.516706653637095,-0.0774780571614594
22.1212121212121,0.102043222069493,0.516579970653773,-0.0787649321681395
22.7272727272727,0.136677007612083,0.516445521258412,-0.0800518071748197
23.3333333333333,0.187573746026121,0.51630237402287,-0.0813386821814998
23.9393939393939,0.239351390884332,0.516149442374897,-0.0826255571881799
24.5454545454545,0.275636982547366,0.515811220288756,-0.0843980425414454
25.1515151515151,0.310641585052372,0.515438670368407,-0.086224484572759
25.7575757575758,0.346270756654516,0.515048781652938,-0.0880509266040727
