alpha,c_l,c_d,c_m
-180.0,0.0,0.230336335722633,0.0
-177.0,0.0751594974220598,0.231103624132272,0.0859764067536593
-174.0,0.150318993717002,0.233149832397835,0.171952812217987
-171.0,0.22547890413975,0.236453992755932,0.257929691411143
-168.0,0.300641806572189,0.238796122156552,0.289909385423795
-165.0,0.375797485562426,0.244948693591073,0.294890798437369
-162.0,0.450961086566835,0.271083256997562,0.299872736532015
-159.0,0.526112337825567,0.301507439865687,0.308984033330431
-156.0,0.6012779398146,0.335727959429862,0.326359691531218
-153.0,0.676436278565957,0.37310778338809,0.343733670725492
-150.0,0.751594971971464,0.413467506101809,0.358546041548755
-147.0,0.783181961243201,0.456590065097395,0.347741694696765
-144.0,0.727623934857232,0.501070185965408,0.332487003721884
-141.0,0.679418144273537,0.547152270866197,0.315807802409649
-138.0,0.634121031628833,0.592119658204153,0.303043706925826
-135.0,0.591180370469595,0.634963724808557,0.293165496720469
-132.0,0.5501549801394,0.684537834370832,0.283375714048549
-129.0,0.509978502092129,0.732483974528399,0.277735429619152
-126.0,0.470109981062029,0.779460500826843,0.27421442697745
-123.0,0.430377715851499,0.825231766763196,0.272245744869416
-120.0,0.390484888060262,0.868306207093828,0.270911263440688
-117.0,0.35038679342303,0.908893320473569,0.270952509901668
-114.0,0.310120710705375,0.946936077581018,0.271679595978581
-111.0,0.269691241336915,0.981727102574046,0.27240669563835
-108.0,0.229282764222651,1.01174204725453,0.272901179191398
-105.0,0.189092775098959,1.03816637726895,0.273345666993193
-102.0,0.149229685262667,1.06087095931306,0.273643804992793
-99.0,0.11014829137599,1.0780999781014,0.273200194331938
-96.0,0.0722070601092213,1.09018771759186,0.271822848537822
-93.0,0.035439453966006,1.0980147772417,0.270157919326891
-90.0,-1.38823116793932e-10,1.10152903787362,0.268498933420562
-87.0,-0.0354394537535238,1.09801477726277,0.263979430756738
-84.0,-0.0722070600076378,1.09018771762019,0.259471723094637
-81.0,-0.110148291682168,1.07809997796642,0.254719975588868
-78.0,-0.149229685568845,1.06087095917808,0.249160217744256
-75.0,-0.189092774938189,1.03816637736388,0.242963520444664
-72.0,-0.22928276403361,1.0117420473926,0.236627004900543
-69.0,-0.269691241600403,0.981727102347305,0.230210636206764
-66.0,-0.310120710409723,0.946936077835438,0.223374546114743
-63.0,-0.350386793367327,0.908893320528085,0.216572184421378
-60.0,-0.390484888188892,0.86830620695494,0.209946147433443
-57.0,-0.43037771542841,0.825231767220028,0.202056316920911
-54.0,-0.470109981137792,0.77946050073929,0.19412479961054
-51.0,-0.509978502405322,0.732483974154078,0.186289050959208
-48.0,-0.550154980352736,0.684537834117822,0.178580210947485
-45.0,-0.591180370115549,0.634963725312483,0.171118307536795
-42.0,-0.671621031625862,0.592119658207045,0.163656404042564
-39.0,-0.754418144364776,0.5471522707789,0.138289218755841
-36.0,-0.840123934268005,0.501070186435884,0.0816252151994556
-33.0,-0.933181961422341,0.456590064953686,0.0242015406013421
-30.0,-0.886095417482229,0.374897502122897,0.0103759715344335
-29.3939393939394,-0.838064848691896,0.354319617778553,0.00933587342806314
-28.7878787878788,-0.796274019183592,0.336241230309919,0.00831694351782989
-28.1818181818182,-0.758944503863848,0.31821750112494,0.00732182554292466
-27.5757575757576,-0.72911528376109,0.310635111435165,0.00647459252059745
-26.969696969697,-0.702429686380606,0.307527580639472,0.00569737455018507
-26.3636363636364,-0.676706922501301,0.307661214489483,0.00493869204764066
-25.7575757575758,-0.651845190270954,0.307764959488679,0.00420141380181704
-25.1515151515151,-0.627756550806206,0.307734844982317,0.00348903282012686
-24.5454545454545,-0.598682827946803,0.307585811249996,0.00280584587470334
-23.9393939393939,-0.569716160923985,0.306820092630184,0.00216671150403952
-23.3333333333333,-0.553425077287354,0.301412680787759,0.00165650066430959
-22.7272727272727,-0.540565881169851,0.296001467092654,0.00119347851735053
-22.1212121212121,-0.534359240551449,0.290586576877594,0.000777590987259815
-21.5151515151515,-0.52827331314296,0.285168130026185,0.000408784080727798
-20.9090909090909,-0.522304997005655,0.279746241265874,8.70038868800608e-05
-20.3030303030303,-0.516451295577901,0.274321020442203,-0.00140604113372235
-19.6969696969697,-0.510932535854094,0.271091604540074,-0.00300242521337353
-19.0909090909091,-0.505704689231871,0.270043099238768,-0.00419027161537331
-18.4848484848485,-0.500530190084329,0.268972563318541,-0.00537811801737309
-17.8787878787879,-0.494892443207954,0.267490804893843,-0.00651758548849964
-17.2727272727273,-0.487343171011616,0.264439293649489,-0.00746353719508711
-16.6666666666667,-0.480009045637567,0.261387606039067,-0.00840948890167459
-16.0606060606061,-0.472881639837753,0.25833574750279,-0.00935544060826206
-15.4545454545455,-0.466715392701951,0.255558398541654,-0.00978324667699546
-14.8484848484848,-0.460811603261301,0.252811249780884,-0.0101534809888925
-14.2424242424242,-0.455077074157796,0.250063782741125,-0.0105237153007895
-13.6363636363636,-0.449572220670658,0.247233682175988,-0.0105588256818887
-13.030303030303,-0.444306005645369,0.244348610777442,-0.010370520084551
-12.4242424242424,-0.439231229485173,0.241463506400501,-0.0101822144872133
-11.8181818181818,-0.437117762165028,0.238260958949863,-0.00997650892625181
-11.2121212121212,-0.442225448374527,0.234312295758389,-0.00973020344579403
-10.6060606060606,-0.448606329600166,0.230355232738546,-0.00948389796533624
-10.0,-0.456693680557621,0.22638980854928,-0.00295970242109284
-9.39393939393939,-0.453028982301848,0.221420921255854,-0.00368587588345888
-8.78787878787879,-0.461832823930884,0.216417572685859,-0.00457953978847299
-8.18181818181818,-0.452988249488235,0.211379227104581,-0.00551397752929058
-7.57575757575758,-0.400012496364179,0.207954995633364,-0.00745165754686766
-6.96969696969697,-0.335795255023732,0.205225101516452,-0.0102176216911072
-6.36363636363636,-0.272038779117744,0.202486584593276,-0.014332555260094
-5.75757575757576,-0.217056746870497,0.199958222824772,-0.021294326333128
-5.15151515151515,-0.163729396430644,0.197750127272579,-0.0263831020656131
-4.54545454545454,-0.11072545852502,0.195534315568385,-0.031589893701654
-3.93939393939394,-0.0581626713974713,0.193433114186876,-0.037046092370937
-3.33333333333333,-0.00628907252050268,0.192428992214656,-0.0439799992412699
-2.72727272727273,0.0584184780988329,0.191423201583836,-0.0511815670807292
-2.12121212121212,0.132659113375736,0.190415735629086,-0.0586530649290263
-1.51515151515152,0.207454247521152,0.189904433365201,-0.0674304792602192
-0.909090909090912,0.282351767179582,0.189550564074772,-0.0746207246982522
-0.303030303030302,0.357043931402622,0.189385554557873,-0.080690774201309
0.303030303030302,0.431497617527203,0.189283547192091,-0.0865725128427506
0.909090909090912,0.505712825553326,0.189244569957823,-0.0922659406225771
1.51515151515152,0.57937349669716,0.189376655659429,-0.0973899178129282
2.12121212121212,0.652805870763264,0.189562242941718,-0.10228201427685
2.72727272727273,0.725716494469341,0.189841134913921,-0.106648553112502
3.33333333333333,0.798264104809783,0.190187293098532,-0.110693323801651
3.93939393939394,0.868473602988048,0.190588385330242,-0.114474829599396
4.54545454545455,0.936594620182992,0.191121611529832,-0.117714342647227
5.15151515151515,1.00419374330066,0.191714993079268,-0.120717170604727
5.75757575757576,1.07061031694035,0.192445278189025,-0.123190607419223
6.36363636363637,1.1357890131728,0.193304114393529,-0.125167990253077
6.96969696969697,1.20014245783933,0.194247948487372,-0.126901260573202
7.57575757575757,1.26192393956786,0.195585372095145,-0.127918650309086
8.18181818181818,1.32251779890649,0.19712886884249,-0.128522622759991
8.78787878787879,1.38065639483591,0.199106060650517,-0.128536882060948
9.39393939393939,1.43597871384528,0.201868235749912,-0.128232171332714
10.0,1.48978457568222,0.205039313078079,-0.127755707476526
10.6060606060606,1.53471425381724,0.210973305080603,-0.126619573532117
11.2121212121212,1.56922148608035,0.218995091885894,-0.125430606022885
11.8181818181818,1.47369113800403,0.230792345342108,-0.124143519024685
12.4242424242424,1.3585642422401,0.245900502712167,-0.123470108997153
13.030303030303,1.24631139855457,0.262013797305846,-0.122818320490207
13.6363636363636,1.12780402117053,0.277294564072191,-0.117580255311307
14.2424242424242,1.056387887345,0.288714805873971,-0.113930080655102
14.8484848484848,1.04527227521031,0.294801365910548,-0.112661741520981
15.4545454545455,0.998887717682678,0.302932475609638,-0.110492924466926
16.0606060606061,0.933764321069611,0.31267169537567,-0.108258727361792
16.6666666666667,0.798121611705372,0.330961898735135,-0.108137543122084
17.2727272727273,0.73366211923439,0.348772516360042,-0.108016358882376
17.8787878787879,0.69927021305696,0.366138408485195,-0.107895174642668
18.4848484848485,0.683363208162974,0.378602055610765,-0.112326438363018
19.0909090909091,0.671441433508853,0.389817826229591,-0.11789581383198
19.6969696969697,0.659531670266414,0.400938109535567,-0.119738404456952
20.3030303030303,0.656048142158975,0.407414028220612,-0.121260578059834
20.9090909090909,0.66171489791314,0.409304166111571,-0.123343865565481
21.5151515151515,0.668523609343568,0.411174884305499,-0.125427153071128
22.1212121212121,0.676720441981582,0.413024026218746,-0.127510440576775
22.7272727272727,0.716975521661681,0.414849103670858,-0.129593728082422
23.3333333333333,0.77462169398842,0.416647230603737,-0.131677015588069
23.9393939393939,0.83499738140966,0.418415040240613,-0.133760303093716
24.5454545454545,0.880202929667952,0.419945461468382,-0.136629732192294
25.1515151515151,0.923193403656671,0.421406932360462,-0.139586510312836
25.7575757575758,0.962437305583609,0.422814678474712,-0.142543288433378
26.3636363636364,1.00399108009624,0.424160239293147,-0.14506338004257
26.969696969697,1.048332717385,0.425433279408745,-0.146342401223803
27.5757575757576,1.0960818615841,0.426621038710203,-0.147621422405035
28.1818181818182,1.14546164481647,0.428131780341555,-0.149215924654685
28.7878787878788,1.19307916218778,0.430551701525355,-0.151546549543648
29.3939393939394,1.23601365390906,0.432898763166243,-0.153877174432611
30.0,1.25270526357876,0.435158723446102,-0.156207799321574
33.0,1.26883137346049,0.456590064953686,-0.167075349667193
36.0,1.15196276324001,0.501070186435884,-0.176604814261706
39.0,1.04559734909254,0.5471522707789,-0.185890887475221
42.0,0.943387188036945,0.592119658207045,-0.193193322019123
45.0,0.844543385879355,0.634963725312483,-0.199017154698747
48.0,0.785935686218195,0.684537834117822,-0.204840987313168
51.0,0.728540717721889,0.732483974154078,-0.210426055320989
54.0,0.671585687339703,0.77946050073929,-0.215888414616535
57.0,0.614825307754871,0.825231767220028,-0.221266300353174
60.0,0.557835554555559,0.868306206954941,-0.226728816425511
63.0,0.500552561953324,0.908893320528083,-0.232238834416133
66.0,0.443029586299603,0.946936077835435,-0.236068574449602
69.0,0.38527320228629,0.981727102347305,-0.239958037075462
72.0,0.3275468057623,1.0117420473926,-0.244157991222299
75.0,0.270132535625983,1.03816637736388,-0.248448150724798
78.0,0.21318526509835,1.06087095917808,-0.252759784926021
81.0,0.157354702403097,1.07809997796642,-0.256896586019371
84.0,0.103152942868054,1.09018771762019,-0.260802034261646
87.0,0.0506277910764624,1.09801477726277,-0.264643943505006
90.0,1.98318636888493e-10,1.10152903787362,-0.268498933423163
93.0,-0.0354394539660059,1.0980147772417,-0.270157919326891
96.0,-0.0722070601092216,1.09018771759186,-0.271822848537822
99.0,-0.11014829137599,1.0780999781014,-0.273200194331938
102.0,-0.149229685262667,1.06087095931306,-0.273643804992793
105.0,-0.189092775098959,1.03816637726895,-0.273345666993193
108.0,-0.229282764222651,1.01174204725453,-0.272901179191398
111.0,-0.269691241336915,0.981727102574046,-0.27240669563835
114.0,-0.310120710705375,0.946936077581016,-0.271679595978581
117.0,-0.35038679342303,0.908893320473567,-0.270952509901668
120.0,-0.390484888060262,0.868306207093828,-0.270911263440688
123.0,-0.430377715851499,0.825231766763196,-0.272245744869416
126.0,-0.470109981062029,0.779460500826843,-0.27421442697745
129.0,-0.50997850209213,0.732483974528399,-0.277735429619151
132.0,-0.5501549801394,0.684537834370832,-0.283375714048549
135.0,-0.591180370469595,0.634963724808557,-0.293165496720469
138.0,-0.634121031628833,0.592119658204153,-0.303043706925826
141.0,-0.679418144273537,0.547152270866198,-0.31580780240965
144.0,-0.727623934857232,0.501070185965408,-0.332487003721884
147.0,-0.7831819612432,0.456590065097395,-0.347741694696765
150.0,-0.751594971971464,0.413467506101809,-0.358546041548756
153.0,-0.676435474689655,0.373107373726556,-0.343733484897408
156.0,-0.601275977407848,0.3357270228155,-0.326359237891414
159.0,-0.52611648012604,0.301509269716076,-0.30898499088542
162.0,-0.450956982844233,0.271081770815909,-0.314201865709361
165.0,-0.375797485562426,0.244948693591073,-0.330714301262921
168.0,-0.300637988280618,0.23879647651052,-0.347226736816481
171.0,-0.22547849099881,0.236453973009765,-0.322411523514011
174.0,-0.150318993717002,0.233149832397835,-0.214941015272484
177.0,-0.0751594974220598,0.231103624132272,-0.107470508442074
180.0,0.0,0.230336335722633,0.0
