BlSpn,BlTwist,t
0.0,12.00002806121996,1
3.028133912677172,11.99964011912278,1
6.056826677697652,11.99671430769378,1
9.084872684984118,12.02241256026795,1
12.113583447845896,11.56869232147211,1.0218450077641317
15.142039621275377,11.03883227305816,1.0225841700595195
18.17016622976466,10.37609005387132,1.0228288633291682
21.19816339696047,9.48358989088998,1.0225227855214956
24.22667709380133,8.661206923495264,1.0219586917376464
27.255001386141643,7.850257468512085,1.0213742870716578
30.283708963811986,7.047057061811484,1.0208781375041962
33.31181368830669,6.190526877993271,1.0204826943284209
36.34006318912048,5.440409048815762,1.0201893617868525
39.3688245512631,4.837699901176175,1.0199852971520156
42.39713949000121,4.190684243696569,1.0198245555054
45.42541779147016,3.520014974504586,1.019640861712474
48.45344830940645,2.881890536278555,1.0193779975191433
51.4817784934198,2.18751266734693,1.018968892432664
54.51042027584363,1.59871564749251,1.0183084767610469
57.53824697763611,0.919854123077352,1.017348301604653
60.56688910055262,0.262800892452079,1.0161063169377649
63.59545139184732,-0.352359064289039,1.0145891100670648
66.62349396639351,-1.002491400035471,1.0129214830257716
69.65140180824017,-1.577842454204785,1.0113617398731676
72.68024588335699,-2.172933952928573,1.0103819977980872
75.70855089375524,-2.639337812859181,1.0107613345701036
78.73686418573774,-3.065739832811044,1.0140898688210254
81.76542254196501,-3.21332740135285,1.0236351558040475
84.79339591965903,-3.126041506422669,1.0362493242157171
87.82159245625535,-2.904225668350344,1.0
