BlFract,PitchAxis,StrcTwst,BMassDen,FlpStff,EdgStff
0.0,0.5,12.00002806121996,2371.932011770501,119917653399.1579,119891708452.5129
0.03448051701163937,0.4992152755398002,11.99964011912278,1293.060399764701,67756467274.58474,42361297538.82605
0.06896739751917623,0.4672485136741974,11.99671430769378,1227.167773988161,57179967708.87293,35893073698.76212
0.1034469135766283,0.4288897840799227,12.02241256026795,1100.228619870891,44097809283.13895,31855398352.39854
0.1379339990205685,0.3912335423197492,11.56869232147211,978.736803679537,28277254740.18433,30843567439.6091
0.1724181855255898,0.3606002388416181,10.03883227305816,862.5231266096602,14930980383.73323,30589399237.77861
0.2068986193664772,0.3402398741105638,8.076609005387132,764.5220037329185,9579190449.15793,28575935226.54567
0.2413775792954272,0.3306748768472906,6.583589890889979,674.5523309953938,7669172479.046265,23835959457.9575
0.2758624208035038,0.3302603283023026,5.661206923495265,612.8005177619898,6404105693.496418,19819792234.176
0.3103451056153142,0.3361433319484836,5.010257468512085,559.7049372379121,5292204329.907581,16031227840.85771
0.3448321547903672,0.3459405469678954,4.447057061811484,520.0170895264471,4377269437.452649,13075491518.86276
0.3793123394443066,0.3588053915031434,3.930526877993271,489.4738528559762,3605553533.067904,10746901380.90087
0.4137941726258467,0.3742787356321839,3.440409048815762,459.9619663020491,2917387326.855007,8685039313.819857
0.4482818342296974,0.3920532253662087,2.937699901176175,432.4414943889855,2314365853.72228,6952183134.852133
0.482764412534646,0.4102244087380393,2.390684243696569,413.647778960887,1805630803.712709,5451487648.723539
0.5172465736612203,0.4282815639424382,1.800014974504586,386.8626824234178,1364145346.326187,4304671562.404673
0.5517259133457584,0.4463827495700969,1.181890536278555,359.1985573287537,961929963.5160612,3348057499.294545
0.5862086652444077,0.4629447909024211,0.550751266734693,332.9658105809868,669282197.0474299,2605356517.78341
0.6206949652273239,0.4781259370314843,-0.0768871564749251,307.9006207296893,455218458.3347712,2023893126.030576
0.6551719841142299,0.4919919378338999,-0.6869854123077352,282.5025846139055,312419731.8474531,1558536415.120723
0.6896582879742414,0.5036629588431591,-1.262800892452079,259.0033800573924,228584422.779046,1197596602.768086
0.724143682813822,0.513566091954023,-1.792359064289039,233.7406251325729,166318632.9843424,916430849.8597451
0.7586231597836172,0.5217514745916515,-2.262491400035471,208.5089297355127,118816121.8590731,697753421.7549367
0.7931011025897087,0.5253728858004458,-2.647842454204785,183.9489275015456,83866233.92521994,525560766.2350669
0.8275897060231471,0.5264592476489028,-2.942933952928573,159.1838941753338,58289241.35227712,389459091.8936346
0.8620721712768564,0.5227474695488077,-3.129337812859181,133.8838467051346,39884995.3068934,280941177.4959978
0.8965547308306578,0.5138115831586969,-3.135739832811044,106.6998436049018,25896138.47462827,191827744.5946494
0.9310400808627224,0.498389124668435,-2.86332740135285,74.39161864254051,14182923.06455157,112455413.1038645
0.9655187699072448,0.4762865900383142,-2.046041506422669,41.5820092567976,4478526.367248573,44311138.11408713
1.0,0.446,-0.03724225668350344,2.378792975716521,728.4979009681697,24645.14615330915
