BlSpn,t
0.0,0
3.028133912677172,0
6.056826677697652,0
9.084872684984118,0
12.113583447845896,0
15.142039621275377,0
18.17016622976466,0
21.19816339696047,0
24.22667709380133,0
27.255001386141643,0
30.283708963811986,0
33.31181368830669,0
36.34006318912048,0
39.3688245512631,0
42.39713949000121,0
45.42541779147016,0
48.45344830940645,0
51.4817784934198,0
54.51042027584363,0
57.53824697763611,0
60.56688910055262,0
63.59545139184732,0
66.62349396639351,0
69.65140180824017,0
72.68024588335699,0
75.70855089375524,0
78.73686418573774,0
81.76542254196501,0
84.79339591965903,0
87.82159245625535,0
