BlSpn,BlCrvAC,BlSwpAC,BlCrvAng,BlTwist,BlChord,BlAFID
0.0,0.0,0.0,-0.4680727496729047,12.00002806121996,4.6,1
3.336162423461167,-0.02725417757810917,-0.05038796736907565,-0.5674040432452033,11.99964011912278,4.6028567193039,2
6.672940546967896,-0.06608150883652042,-0.1258770717341791,-0.8289897155597337,11.99671430769378,4.722267657550535,3
10.00900612310667,-0.1237975154565298,-0.2733793979655383,-1.023317024794702,12.02241256026795,5.008074089590719,4
13.34580407523511,-0.1852541928149859,-0.4481996714049346,-0.8542539758409285,11.56869232147211,5.411514106583073,5
16.68232154052844,-0.2232899226147539,-0.5730877335482641,-0.3548211730164621,10.03883227305816,5.80077684729064,6
20.0184759168035,-0.2265764356903208,-0.5374722319486793,-0.0978178692707551,8.076609005387132,6.015708470169677,7
23.35448768472906,-0.2346809319376878,-0.4794330540089734,-0.2429879508712338,6.583589890889979,5.982229064039409,8
26.69106852484301,-0.2548744143273112,-0.4654082645759871,-0.399805762767978,5.661206923495265,5.827155062245235,9
30.02744069380972,-0.2812439325617658,-0.4813069494626465,-0.4844235312407635,5.010257468512085,5.60871083298712,10
33.36423513674197,-0.3112939350837556,-0.5113194662875397,-0.5555255724151072,4.447057061811484,5.345638585017836,11
36.70036540293389,-0.3459419307352812,-0.5485036268224658,-0.6442079152400314,3.930526877993271,5.053029053152982,12
40.03665517241379,-0.3863140372958074,-0.5887431895576625,-0.7503035215779433,3.440409048815762,4.745833333333334,13
43.37350887089437,-0.4333260275404175,-0.6291062122721164,-0.8746221207227057,2.937699901176175,4.434493039759803,14
46.70987073478967,-0.4881769550592285,-0.6604332097192446,-1.039709497688626,2.390684243696569,4.125517078895109,15
50.04619223459137,-0.5544042567471822,-0.6811242465119886,-1.271732565972333,1.800014974504586,3.822383518870486,16
53.38224074576885,-0.6362641891288706,-0.6930400064884357,-1.56873559474416,1.181890536278555,3.529777853199384,17
56.71861940572266,-0.7370698275617659,-0.6925244812953794,-1.929014859254025,0.550751266734693,3.252281841526046,18
60.05534136056972,-0.8608894343794347,-0.6824850595299908,-2.371557896525601,-0.0768871564749251,2.991705734632684,19
63.39116532297232,-1.013177613528673,-0.6650495707824268,-2.892107740593302,-0.6869854123077352,2.748427838756678,20
66.72788765294773,-1.197555226993475,-0.6400577085003101,-3.496225341146051,-1.262800892452079,2.52387341490545,21
70.06452203065135,-1.420137471222895,-0.6105026769967107,-4.223944715001747,-1.792359064289039,2.317451053639846,22
73.40058382486387,-1.689032546878884,-0.5778511481493138,-5.121363079103617,-2.262491400035471,2.128054548548095,23
76.73649718106726,-2.015715807482529,-0.5385675442035163,-6.204902701659648,-2.647842454204785,1.957865831912941,24
80.07344200626959,-2.410264573875946,-0.4976858245456399,-7.440983429738742,-2.942933952928573,1.802591379310345,25
83.40979293189224,-2.879940318197324,-0.4520976721323844,-9.02635779742722,-3.129337812859181,1.660044089895351,26
86.7461529815203,-3.457138292174122,-0.4009175950522073,-11.10302006304669,-3.135739832811044,1.521990683939798,27
90.08278302387268,-4.164982645129737,-0.3330974301679997,-13.86396430044707,-2.86332740135285,1.342706976127321,28
93.41876858237546,-5.056013567552575,-0.2375829933775816,-17.81388699557005,-2.046041506422669,1.050590574712644,29
96.755,-6.206187744120863,-0.01885519601683914,-20.16668918530108,-0.03724225668350344,0.0962,30
