BlSpn,BlCrvAC,BlSwpAC,BlCrvAng,BlTwist,BlChord,BlAFID
0.0,0.0,0.0,-0.4680727496729047,12.00002806121996,3.754746007958245,1
3.0204932902196084,-0.0272541775781091,-0.0503879673690756,-0.5674040432452033,11.99964011912278,3.77332423244501,2
6.041544022679839,-0.0660815088365204,-0.1258770717341791,-0.8289897155597337,11.99671430769378,3.895444646803027,3
9.061949629312638,-0.1237975154565298,-0.2733793979655383,-1.023317024794702,12.02241256026795,4.241207950474364,4
12.083018314201803,-0.1852541928149859,-0.4481996714049346,-0.8542539758409285,11.56869232147211,4.799474298348171,5
15.103833052041669,-0.2232899226147539,-0.5730877335482641,-0.3548211730164621,11.03883227305816,5.251904829958763,6
18.124319056503403,-0.2265764356903208,-0.5374722319486793,-0.0978178692707551,10.37609005387132,5.446499529604297,7
21.144675946279424,-0.2346809319376878,-0.4794330540089734,-0.2429879508712338,9.48358989088998,5.416187959380417,8
24.165548062386936,-0.2548744143273112,-0.4654082645759871,-0.399805762767978,8.661206923495264,5.275787126791201,9
27.18623125190152,-0.2812439325617658,-0.4813069494626465,-0.4844235312407635,7.850257468512085,5.07801218510332,10
30.20729675963616,-0.3112939350837556,-0.5113194662875397,-0.5555255724151072,7.047057061811484,4.839831947160999,11
33.227760935321264,-0.3459419307352812,-0.5485036268224658,-0.6442079152400314,6.190526877993271,4.574909255916503,12
36.24836952202416,-0.3863140372958074,-0.5887431895576625,-0.7503035215779433,5.440409048815762,4.296780528138081,13
39.26948867852149,-0.4333260275404175,-0.6291062122721164,-0.8746221207227057,4.837699901176175,4.014899387969188,14
42.29016253803498,-0.4881769550592285,-0.6604332097192446,-1.039709497688626,4.190684243696569,3.735158866324341,15
45.3107998527229,-0.5544042567471822,-0.6811242465119886,-1.271732565972333,3.520014974504586,3.46070793502201,16
48.33119000908843,-0.6362641891288706,-0.6930400064884357,-1.56873559474416,2.881890536278555,3.195788744150339,17
51.35187907541011,-0.7370698275617659,-0.6925244812953794,-1.929014859254025,2.18751266734693,2.9445495252718894,18
54.37287895391357,-0.8608894343794347,-0.6824850595299908,-2.371557896525601,1.59871564749251,2.708629242455926,19
57.39306580840655,-1.013177613528673,-0.6650495707824268,-2.892107740593302,0.919854123077352,2.488370406439822,20
60.41406602654355,-1.197555226993475,-0.6400577085003101,-3.496225341146051,0.262800892452079,2.2850634194172645,21
63.43498661449081,-1.420137471222895,-0.6105026769967107,-4.223944715001747,-0.352359064289039,2.098172831366343,22
66.45538879704486,-1.689032546878884,-0.5778511481493138,-5.121363079103617,-1.002491400035471,1.926697105605014,23
69.47565658685848,-2.015715807482529,-0.5385675442035163,-6.204902701659648,-1.577842454204785,1.7726117190385369,24
72.49685824762769,-2.410264573875946,-0.4976858245456399,-7.440983429738742,-2.172933952928573,1.632029402383197,25
75.51752220385262,-2.879940318197324,-0.4520976721323844,-9.02635779742722,-2.639337812859181,1.5029699992231176,26
78.53819442076562,-3.457138292174122,-0.4009175950522073,-11.10302006304669,-3.065739832811044,1.3779792663234594,27
81.55911108357446,-4.164982645129737,-0.3330974301679997,-13.86396430044707,-3.21332740135285,1.2156594605834667,28
84.57944424387463,-5.056013567552575,-0.2375829933775816,-17.81388699557005,-3.126041506422669,0.9511832395724006,29
87.6,-6.206187744120863,-0.0188551960168391,-20.16668918530108,-2.904225668350344,0.0870975143403441,30
